frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
181,5.599657,1.000000,1.000000,1157,23.724650,11.438670
182,5.648258,1.000000,1.000000,1157,23.836610,11.492650
183,5.694777,1.000000,1.000000,1157,23.976710,11.560200
184,5.695219,1.000000,1.000000,1157,23.986030,11.564700
185,5.743073,1.000000,1.000000,1157,24.107300,11.623160
186,5.789562,1.000000,1.000000,1157,24.247340,11.690680
187,5.790001,1.000000,1.000000,1157,24.256660,11.695180
188,5.838457,1.000000,1.000000,1157,24.368620,11.749160
189,5.884670,1.000000,1.000000,1157,24.508640,11.816660
190,5.885044,1.000000,1.000000,1157,24.517960,11.821160
191,5.932636,1.000000,1.000000,1157,24.639370,11.879690
192,5.979374,1.000000,1.000000,1157,24.788700,11.951700
193,5.979725,1.000000,1.000000,1157,24.798030,11.956190
194,6.027756,1.000000,1.000000,1157,24.909950,12.010150
195,6.072880,1.000000,1.000000,1157,25.050030,12.077690
196,6.073280,1.000000,1.000000,1157,25.059350,12.082190
197,6.119606,1.000000,1.000000,1157,25.171250,12.136140
198,6.164787,1.000000,1.000000,1157,25.311250,12.203640
199,6.165253,1.000000,1.000000,1157,25.320580,12.208140
200,6.214859,1.000000,1.000000,1157,25.423280,12.257660
201,6.263283,1.000000,1.000000,1157,25.572630,12.329660
202,6.263824,1.000000,1.000000,1157,25.581960,12.334160
203,6.311920,1.000000,1.000000,1157,25.703250,12.392640
204,6.358299,1.000000,1.000000,1157,25.843330,12.460180
205,6.358616,1.000000,1.000000,1157,25.852650,12.464670
206,6.406776,1.000000,1.000000,1157,25.964570,12.518630
207,6.453918,1.000000,1.000000,1157,26.113950,12.590660
208,6.454357,1.000000,1.000000,1157,26.123280,12.595150
209,6.501915,1.000000,1.000000,1157,26.235280,12.649150
210,6.548389,1.000000,1.000000,1157,26.375300,12.716660
211,6.548717,1.000000,1.000000,1157,26.384620,12.721160
212,6.597115,1.000000,1.000000,1157,26.496590,12.775140
213,6.643208,1.000000,1.000000,1157,26.636580,12.842640
214,6.643818,1.000000,1.000000,1157,26.645900,12.847130
215,6.691147,1.000000,1.000000,1157,26.757900,12.901130
216,6.737103,1.000000,1.000000,1157,26.897950,12.968650
217,6.737518,1.000000,1.000000,1157,26.907270,12.973150
218,6.785007,1.000000,1.000000,1157,27.019200,13.027110
219,6.829918,1.000000,1.000000,1157,27.159240,13.094630
220,6.830372,1.000000,1.000000,1157,27.168560,13.099130
221,6.879387,1.000000,1.000000,1157,27.280530,13.153110
222,6.927917,1.000000,1.000000,1157,27.429960,13.225160
223,6.928284,1.000000,1.000000,1157,27.439280,13.229650
224,6.975777,1.000000,1.000000,1157,27.560670,13.288180
225,7.022430,1.000000,1.000000,1157,27.709860,13.360110
226,7.022770,1.000000,1.000000,1157,27.719190,13.364610
227,7.069550,1.000000,1.000000,1157,27.831250,13.418640
228,7.115360,1.000000,1.000000,1157,27.971220,13.486120
229,7.115704,1.000000,1.000000,1157,27.980540,13.490620
230,7.165928,1.000000,1.000000,1157,28.083240,13.540130
231,7.213913,1.000000,1.000000,1157,28.241950,13.616660
232,7.214367,1.000000,1.000000,1157,28.251280,13.621150
233,7.265591,1.000000,1.000000,1157,28.363250,13.675140
234,7.315887,1.000000,1.000000,1157,28.512580,13.747140
235,7.316341,1.000000,1.000000,1157,28.521900,13.751630
236,7.367149,1.000000,1.000000,1157,28.643160,13.810100
237,7.416607,1.000000,1.000000,1157,28.792540,13.882120
238,7.417187,1.000000,1.000000,1157,28.801860,13.886610
239,7.472145,1.000000,1.000000,1157,28.923190,13.945110
240,7.525394,1.000000,1.000000,1157,29.081990,14.021680
241,7.526020,1.000000,1.000000,1157,29.091320,14.026170
242,7.578541,1.000000,1.000000,1157,29.231260,14.093640
243,7.627300,1.000000,1.000000,1157,29.380600,14.165650
244,7.627975,1.000000,1.000000,1157,29.389920,14.170140
245,7.683594,1.000000,1.000000,1157,29.520630,14.233160
246,7.736607,1.000000,1.000000,1157,29.688570,14.314130
247,7.737339,1.000000,1.000000,1157,29.697890,14.318630
248,7.792767,1.000000,1.000000,1157,29.828650,14.381670
249,7.847675,1.000000,1.000000,1157,29.996550,14.462620
250,7.848309,1.000000,1.000000,1157,30.005870,14.467120
251,7.902203,1.000000,1.000000,1157,30.136700,14.530190
252,7.953220,1.000000,1.000000,1157,30.285940,14.602150
253,7.953819,1.000000,1.000000,1157,30.295260,14.606640
254,8.018951,1.000000,1.000000,1157,30.425810,14.669590
255,8.082619,1.000000,1.000000,1157,30.621890,14.764130
256,8.083035,1.000000,1.000000,1157,30.631210,14.768620
257,8.138535,1.000000,1.000000,1157,30.789780,14.845070
258,8.191486,1.000000,1.000000,1157,30.948540,14.921620
259,8.191963,1.000000,1.000000,1157,30.957870,14.926120
260,8.243893,1.000000,1.000000,1157,31.088460,14.989080
261,8.293514,1.000000,1.000000,1157,31.247200,15.065610
262,8.293995,1.000000,1.000000,1157,31.256520,15.070110
263,8.340725,1.000000,1.000000,1157,31.377750,15.128560
264,8.386189,1.000000,1.000000,1157,31.517770,15.196070
265,8.386616,1.000000,1.000000,1157,31.527100,15.200570
266,8.438007,1.000000,1.000000,1157,31.639110,15.254570
267,8.486767,1.000000,1.000000,1157,31.788510,15.326600
268,8.487396,1.000000,1.000000,1157,31.797840,15.331100
269,8.536785,1.000000,1.000000,1157,31.919060,15.389550
270,8.584457,1.000000,1.000000,1157,32.068440,15.461570
271,8.584789,1.000000,1.000000,1157,32.077760,15.466060
272,8.632187,1.000000,1.000000,1157,32.199110,15.524570
273,8.678459,1.000000,1.000000,1157,32.348450,15.596580
274,8.678825,1.000000,1.000000,1157,32.357780,15.601070
275,8.727520,1.000000,1.000000,1157,32.460390,15.650550
276,8.775658,1.000000,1.000000,1157,32.600430,15.718070
277,8.776833,1.000000,1.000000,1157,32.609760,15.722560
278,8.851597,1.000000,1.000000,1157,32.731070,15.781050
279,8.915348,1.000000,1.000000,1157,32.945790,15.884580
280,8.917000,1.000000,1.000000,1157,32.955110,15.889070
281,8.979557,1.000000,1.000000,1157,33.132560,15.974630
282,9.039047,1.000000,1.000000,1157,33.319160,16.064600
283,9.039478,1.000000,1.000000,1157,33.328490,16.069090
284,9.095570,1.000000,1.000000,1157,33.477790,16.141080
285,9.148575,1.000000,1.000000,1157,33.636460,16.217580
286,9.149868,1.000000,1.000000,1157,33.645780,16.222070
287,9.202358,1.000000,1.000000,1157,33.776470,16.285090
288,9.230446,1.000000,1.000000,1157,33.935290,16.361660
289,9.230923,1.000000,1.000000,1157,33.944610,16.366160
290,9.279510,1.000000,1.000000,1157,34.009740,16.397550
291,9.327587,1.000000,1.000000,1157,34.159130,16.469580
292,9.327915,1.000000,1.000000,1157,34.168460,16.474080
293,9.376797,1.000000,1.000000,1157,34.280380,16.528040
294,9.424614,1.000000,1.000000,1157,34.429700,16.600040
295,9.424973,1.000000,1.000000,1157,34.439030,16.604530
296,9.474018,1.000000,1.000000,1157,34.551070,16.658550
297,9.521790,1.000000,1.000000,1157,34.691010,16.726020
298,9.522121,1.000000,1.000000,1157,34.700340,16.730520
299,9.570938,1.000000,1.000000,1157,34.812350,16.784530
300,9.617760,1.000000,1.000000,1157,34.961690,16.856530
301,9.618111,1.000000,1.000000,1157,34.971020,16.861030
