time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
35.4607,18.7423,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.5118,18.7935,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.5627,18.8443,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.6130,18.8946,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.6638,18.9454,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.7145,18.9961,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.7651,19.0467,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.8158,19.0974,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.8668,19.1484,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.9177,19.1994,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
35.9680,19.2496,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.0181,19.2998,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.0685,19.3502,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.1191,19.4007,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.1693,19.4509,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.2201,19.5017,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.2702,19.5518,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.3207,19.6024,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.3716,19.6532,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.4219,19.7035,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.4721,19.7537,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.5229,19.8045,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
36.5733,19.8549,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,10,1,1,1,-1.2768,0.9032,8.4267,5,0,3,0,0,0,1.4300
