frame,real_seconds,focus_amount,control_scale,label_scale
194,1.200606,1.000000,1.000000,1.000000
195,1.203495,1.000000,1.000000,1.000000
196,1.207054,1.000000,1.000000,1.000000
197,1.210485,1.000000,1.000000,1.000000
198,1.213595,1.000000,1.000000,1.000000
199,1.239104,1.000000,1.000000,1.000000
200,1.264861,1.000000,1.000000,1.000000
201,1.265430,0.966700,1.000000,1.000000
202,1.266983,0.933400,1.000000,1.000000
203,1.270416,0.900100,1.000000,1.000000
204,1.273650,0.800006,1.000000,1.000000
205,1.276958,0.766706,1.000000,1.000000
206,1.280411,0.733242,1.000000,1.000000
207,1.283618,0.699942,1.000000,1.000000
208,1.287302,0.666642,1.000000,1.000000
209,1.290371,0.633293,1.000000,1.000000
210,1.293649,0.599993,1.000000,1.000000
211,1.297210,0.566693,1.000000,1.000000
212,1.300671,0.533153,1.000000,1.000000
213,1.303822,0.499853,1.000000,1.000000
214,1.307382,0.466553,1.000000,1.000000
215,1.310410,0.433253,1.000000,1.000000
216,1.313706,0.399953,1.000000,1.000000
217,1.317042,0.366653,1.000000,1.000000
218,1.345175,0.266540,1.000000,1.000000
219,1.373018,0.000000,1.000000,1.000000
220,1.373511,0.000000,1.000000,1.000000
221,1.377024,0.000000,1.000000,1.000000
222,1.380261,0.000000,1.000000,1.000000
223,1.383793,0.000000,1.000000,1.000000
224,1.387021,0.000000,1.000000,1.000000
225,1.390320,0.000000,1.000000,1.000000
226,1.393672,0.000000,1.000000,1.000000
227,1.396908,0.000000,1.000000,1.000000
228,1.400320,0.000000,1.000000,1.000000
229,1.403764,0.000000,1.000000,1.000000
230,1.407005,0.000000,1.000000,1.000000
231,1.410465,0.000000,1.000000,1.000000
232,1.413902,0.000000,1.000000,1.000000
233,1.417224,0.000000,1.000000,1.000000
234,1.447578,0.000000,1.000000,1.000000
235,1.477844,0.000000,1.000000,1.000000
236,1.478292,0.000000,1.000000,1.000000
237,1.480300,0.000000,1.000000,1.000000
238,1.483670,0.000000,1.000000,1.000000
239,1.487026,0.000000,1.000000,1.000000
240,1.490312,0.000000,1.000000,1.000000
241,1.493625,0.000000,1.000000,1.000000
242,1.497005,0.000000,1.000000,1.000000
243,1.500301,0.000000,1.000000,1.000000
244,1.503599,0.000000,1.000000,1.000000
245,1.506842,0.000000,1.000000,1.000000
246,1.510404,0.000000,1.000000,1.000000
247,1.513688,0.000000,1.000000,1.000000
248,1.516973,0.000000,1.000000,1.000000
249,1.520353,0.000000,1.000000,1.000000
250,1.545946,0.000000,1.000000,1.000000
251,1.572125,0.000000,1.000000,1.000000
252,1.572609,0.000000,1.000000,1.000000
253,1.574144,0.000000,1.000000,1.000000
254,1.576992,0.000000,1.000000,1.000000
255,1.580370,0.000000,1.000000,1.000000
256,1.583874,0.000000,1.000000,1.000000
257,1.587018,0.000000,1.000000,1.000000
258,1.590440,0.000000,1.000000,1.000000
259,1.593645,0.000000,1.000000,1.000000
260,1.596985,0.000000,1.000000,1.000000
261,1.600235,0.000000,1.000000,1.000000
262,1.603609,0.000000,1.000000,1.000000
263,1.606992,0.000000,1.000000,1.000000
264,1.610248,0.000000,1.000000,1.000000
265,1.613543,0.000000,1.000000,1.000000
266,1.617000,0.000000,1.000000,1.000000
267,1.620234,0.000000,1.000000,1.000000
268,1.646040,0.000000,1.000000,1.000000
269,1.671958,0.000000,1.000000,1.000000
270,1.672301,0.000000,1.000000,1.000000
271,1.673466,0.000000,1.000000,1.000000
272,1.676891,0.000000,1.000000,1.000000
273,1.680283,0.000000,1.000000,1.000000
274,1.683713,0.000000,1.000000,1.000000
275,1.686967,0.000000,1.000000,1.000000
276,1.690251,0.000000,1.000000,1.000000
277,1.693592,0.000000,1.000000,1.000000
278,1.696951,0.000000,1.000000,1.000000
279,1.700249,0.000000,1.000000,1.000000
280,1.703704,0.000000,1.000000,1.000000
281,1.706946,0.000000,1.000000,1.000000
282,1.710263,0.000000,1.000000,1.000000
283,1.713847,0.000000,1.000000,1.000000
284,1.717072,0.000000,1.000000,1.000000
285,1.720393,0.000000,1.000000,1.000000
286,1.748539,0.000000,1.000000,1.000000
287,1.777555,0.000000,1.000000,1.000000
288,1.777922,0.000000,1.000000,1.000000
289,1.780195,0.000000,1.000000,1.000000
290,1.783681,0.000000,1.000000,1.000000
291,1.787032,0.000000,1.000000,1.000000
292,1.790456,0.000000,1.000000,1.000000
293,1.793775,0.000000,1.000000,1.000000
294,1.797068,0.000000,1.000000,1.000000
295,1.800404,0.000000,1.000000,1.000000
296,1.803825,0.000000,1.000000,1.000000
297,1.807014,0.000000,1.000000,1.000000
298,1.810387,0.000000,1.000000,1.000000
299,1.813588,0.000000,1.000000,1.000000
300,1.817080,0.000000,1.000000,1.000000
301,1.820346,0.000000,1.000000,1.000000
302,1.847091,0.000000,1.000000,1.000000
303,1.874145,0.000000,1.000000,1.000000
304,1.874768,0.000000,1.000000,1.000000
305,1.876924,0.000000,1.000000,1.000000
306,1.880521,0.000000,1.000000,1.000000
307,1.883827,0.000000,1.000000,1.000000
308,1.887199,0.000000,1.000000,1.000000
309,1.890532,0.000000,1.000000,1.000000
310,1.893755,0.000000,1.000000,1.000000
311,1.897119,0.000000,1.000000,1.000000
312,1.900448,0.000000,1.000000,1.000000
313,1.903763,0.000000,1.000000,1.000000
314,1.907087,0.000000,1.000000,1.000000
315,1.910439,0.000000,1.000000,1.000000
316,1.913735,0.000000,1.000000,1.000000
317,1.917252,0.000000,1.000000,1.000000
318,1.920369,0.000000,1.000000,1.000000
319,1.950166,0.000000,1.000000,1.000000
320,1.980298,0.000000,1.000000,1.000000
321,1.981018,0.000000,1.000000,1.000000
322,1.983740,0.000000,1.000000,1.000000
323,1.987109,0.000000,1.000000,1.000000
324,1.990488,0.000000,1.000000,1.000000
325,1.993770,0.000000,1.000000,1.000000
326,1.997147,0.000000,1.000000,1.000000
327,2.000410,0.000000,1.000000,1.000000
328,2.003862,0.000000,1.000000,1.000000
329,2.007045,0.000000,1.000000,1.000000
330,2.010319,0.000000,1.000000,1.000000
331,2.013911,0.000000,1.000000,1.000000
332,2.017065,0.000000,1.000000,1.000000
333,2.020401,0.000000,1.000000,1.000000
334,2.023817,0.000000,1.000000,1.000000
335,2.053790,0.000000,1.000000,1.000000
336,2.083546,0.000000,1.000000,1.000000
337,2.084336,0.000000,1.000000,1.000000
338,2.087357,0.000000,1.000000,1.000000
339,2.090437,0.000000,1.000000,1.000000
340,2.093934,0.000000,1.000000,1.000000
341,2.097286,0.000000,1.000000,1.000000
342,2.100502,0.000000,1.000000,1.000000
343,2.104074,0.000000,1.000000,1.000000
344,2.107230,0.000000,1.000000,1.000000
345,2.110417,0.000000,1.000000,1.000000
346,2.113796,0.000000,1.000000,1.000000
347,2.117280,0.000000,1.000000,1.000000
348,2.120534,0.000000,1.000000,1.000000
349,2.123826,0.000000,1.000000,1.000000
350,2.153837,0.000000,1.000000,1.000000
351,2.183578,0.000000,1.000000,1.000000
352,2.184264,0.000000,1.000000,1.000000
353,2.187142,0.000000,1.000000,1.000000
354,2.190537,0.000000,1.000000,1.000000
355,2.193623,0.000000,1.000000,1.000000
356,2.196992,0.000000,1.000000,1.000000
357,2.200486,0.000000,1.000000,1.000000
358,2.203724,0.000000,1.000000,1.000000
359,2.207008,0.000000,1.000000,1.000000
360,2.210298,0.000000,1.000000,1.000000
361,2.214082,0.000000,1.000000,1.000000
362,2.217070,0.000000,1.000000,1.000000
363,2.220475,0.000000,1.000000,1.000000
364,2.223773,0.000000,1.000000,1.000000
365,2.227117,0.000000,1.000000,1.000000
366,2.256114,0.000000,1.000000,1.000000
367,2.285121,0.000000,1.000000,1.000000
368,2.285671,0.000000,1.000000,1.000000
369,2.287069,0.000000,1.000000,1.000000
370,2.290320,0.000000,1.000000,1.000000
371,2.293867,0.000000,1.000000,1.000000
372,2.297070,0.000000,1.000000,1.000000
373,2.300394,0.000000,1.000000,1.000000
