frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
160,4.665941,1.000000,1.000000,377,6.802268,0.341429
161,4.708815,1.000000,1.000000,377,6.851741,0.343932
162,4.709091,1.000000,1.000000,377,6.855271,0.344111
163,4.751556,1.000000,1.000000,377,6.894183,0.346080
164,4.795042,1.000000,1.000000,377,6.943601,0.348580
165,4.795313,1.000000,1.000000,377,6.947130,0.348759
166,4.838257,1.000000,1.000000,377,6.985987,0.350726
167,4.881092,1.000000,1.000000,377,7.035418,0.353228
168,4.881357,1.000000,1.000000,377,7.038945,0.353407
169,4.923697,1.000000,1.000000,377,7.074259,0.355195
170,4.967142,1.000000,1.000000,377,7.123659,0.357696
171,4.967405,1.000000,1.000000,377,7.127183,0.357875
172,5.010500,1.000000,1.000000,377,7.166009,0.359841
173,5.053164,1.000000,1.000000,377,7.215379,0.362342
174,5.053432,1.000000,1.000000,377,7.218903,0.362521
175,5.096455,1.000000,1.000000,377,7.257721,0.364488
176,5.140457,1.000000,1.000000,377,7.307055,0.366988
177,5.140734,1.000000,1.000000,377,7.310577,0.367166
178,5.183897,1.000000,1.000000,377,7.349356,0.369132
179,5.226616,1.000000,1.000000,377,7.398684,0.371632
180,5.226883,1.000000,1.000000,377,7.402204,0.371811
181,5.269342,1.000000,1.000000,377,7.440970,0.373776
182,5.312971,1.000000,1.000000,377,7.490259,0.376276
183,5.313322,1.000000,1.000000,377,7.493776,0.376454
184,5.356451,1.000000,1.000000,377,7.532502,0.378418
185,5.399393,1.000000,1.000000,377,7.581780,0.380918
186,5.399658,1.000000,1.000000,377,7.585296,0.381096
187,5.442287,1.000000,1.000000,377,7.624032,0.383062
188,5.485853,1.000000,1.000000,377,7.673247,0.385559
189,5.486118,1.000000,1.000000,377,7.676761,0.385737
190,5.529474,1.000000,1.000000,377,7.715468,0.387702
191,5.572529,1.000000,1.000000,377,7.764680,0.390200
192,5.572805,1.000000,1.000000,377,7.768192,0.390379
193,5.615530,1.000000,1.000000,377,7.806860,0.392342
194,5.659212,1.000000,1.000000,377,7.856040,0.394840
195,5.659483,1.000000,1.000000,377,7.859550,0.395018
196,5.702757,1.000000,1.000000,377,7.898202,0.396981
197,5.745895,1.000000,1.000000,377,7.947354,0.399478
198,5.746162,1.000000,1.000000,377,7.950861,0.399656
199,5.788568,1.000000,1.000000,377,7.989495,0.401619
200,5.831985,1.000000,1.000000,377,8.038618,0.404116
201,5.832249,1.000000,1.000000,377,8.042124,0.404294
202,5.875576,1.000000,1.000000,377,8.080754,0.406258
203,5.918617,1.000000,1.000000,377,8.129823,0.408753
