wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split,cycle,process
63925005564.6801,9.058479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005564.7473,9.138466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005564.8136,9.198456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005564.8801,9.258446,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005564.9474,9.318436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.0137,9.378426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.0809,9.438416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.1461,9.518402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.2141,9.578392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.2804,9.638382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.3465,9.718369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.3969,9.758362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.4637,9.818352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.5139,9.878342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.5811,9.938332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.6466,10.03831,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.7176,10.0983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.7799,10.15829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.8301,10.19829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.8807,10.23828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005565.9469,10.31827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.0131,10.37826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.0808,10.43825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.1473,10.51823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.1977,10.55823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.2637,10.61822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.3137,10.67821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.3801,10.7382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.4466,10.81818,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.5133,10.89817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
63925005566.5802,10.95816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49432
