wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split,cycle,process
63925005560.3062,4.819191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.373,4.879181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.4229,4.939171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.4897,4.999161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.5402,5.059151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.6068,5.119141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.6733,5.179131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.7224,5.23912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.7901,5.29911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.8561,5.3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.9064,5.41909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005560.9724,5.47908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.0391,5.559067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.0901,5.59906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.1563,5.65905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.2068,5.71904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.2736,5.77903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.323,5.83902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.39,5.89901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.4563,5.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.507,6.01899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.573,6.078979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.6226,6.138969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.6737,6.178963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.7236,6.238953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.7906,6.298943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.8401,6.358932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.9065,6.418922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005561.9739,6.478912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.0398,6.558899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.1068,6.618889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.1737,6.678879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.2401,6.758865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.2902,6.798859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.3562,6.858849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.406,6.918839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.4573,6.958832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.5069,7.018822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.5726,7.078812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.6401,7.158798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.7063,7.218788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.7739,7.278778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.8242,7.338768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.8898,7.398758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005562.956,7.458748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.0073,7.518738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.0737,7.578728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.1227,7.638718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.1729,7.678711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.2237,7.738701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005563.2904,7.798691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
