frame,real_seconds,art_scale,target_scale,dust_vertices
274,2.053391,1.000000,1.000000,0
275,2.117315,1.000000,1.000000,0
276,2.117672,1.000000,1.000000,0
277,2.141062,1.000000,1.000000,0
278,2.164476,1.000000,1.000000,0
279,2.164759,1.000000,1.000000,0
280,2.166786,1.000000,1.000000,0
281,2.170130,1.000000,1.000000,0
282,2.173431,1.000000,1.000000,0
283,2.176760,1.000000,1.000000,0
284,2.180103,1.000000,1.000000,0
285,2.183455,1.000000,1.000000,0
286,2.186775,1.000000,1.000000,0
287,2.190094,1.000000,1.000000,0
288,2.214218,1.000000,1.000000,0
289,2.238924,1.000000,1.000000,0
290,2.239182,1.000000,1.000000,0
291,2.240147,1.000000,1.000000,0
292,2.243509,1.000000,1.000000,0
293,2.246788,1.000000,1.000000,0
294,2.250105,1.000000,1.000000,0
295,2.253429,1.000000,1.000000,0
296,2.256769,1.000000,1.000000,0
297,2.260086,1.000000,1.000000,0
298,2.283178,1.000000,1.000000,0
299,2.306597,1.000000,1.000000,0
300,2.306885,1.000000,1.000000,0
301,2.310099,1.000000,1.000000,0
302,2.313452,1.000000,1.000000,0
303,2.316774,1.000000,1.000000,0
304,2.320101,1.000000,1.000000,0
305,2.323425,1.000000,1.000000,0
306,2.326778,1.000000,1.000000,0
307,2.330111,1.000000,1.000000,0
308,2.353136,1.000000,1.000000,0
309,2.376457,1.000000,1.000000,0
310,2.376720,1.000000,1.000000,0
311,2.380091,1.000000,1.000000,0
312,2.383425,1.000000,1.000000,0
313,2.386822,1.000000,1.000000,0
314,2.390100,1.000000,1.000000,0
315,2.393425,1.000000,1.000000,0
316,2.396812,1.000000,1.000000,0
317,2.400091,1.000000,1.000000,0
318,2.424131,1.000000,1.000000,0
319,2.448633,1.000000,1.000000,0
320,2.448896,1.000000,1.000000,0
321,2.450071,1.000000,1.000000,0
322,2.453495,1.000000,1.000000,0
323,2.456762,1.000000,1.000000,0
324,2.460089,1.000000,1.000000,0
325,2.463457,1.000000,1.000000,0
326,2.466764,1.000000,1.000000,0
327,2.470083,1.000000,1.000000,0
328,2.493168,1.000000,1.000000,0
329,2.516554,1.000000,1.000000,0
330,2.516846,1.000000,1.000000,0
331,2.520092,1.000000,1.000000,0
332,2.523430,1.000000,1.000000,0
333,2.526772,1.000000,1.000000,0
334,2.530088,1.000000,1.000000,0
335,2.533424,1.000000,1.000000,0
336,2.536758,1.000000,1.000000,0
337,2.540079,1.000000,1.000000,0
338,2.563240,1.000000,1.000000,0
339,2.586710,1.000000,1.000000,0
340,2.586946,1.000000,1.000000,0
341,2.590096,1.000000,1.000000,0
342,2.593439,1.000000,1.000000,0
343,2.596758,1.000000,1.000000,0
344,2.600092,1.000000,1.000000,0
345,2.603426,1.000000,1.000000,0
346,2.606756,1.000000,1.000000,0
347,2.631489,1.000000,1.000000,0
348,2.656618,1.000000,1.000000,0
349,2.656883,1.000000,1.000000,0
350,2.660095,1.000000,1.000000,0
351,2.663429,1.000000,1.000000,0
352,2.666765,1.000000,1.000000,0
353,2.670362,1.000000,1.000000,0
354,2.673641,1.000000,1.000000,0
355,2.697186,1.000000,1.000000,0
356,2.721241,1.000000,1.000000,0
357,2.721489,1.000000,1.000000,0
358,2.723413,1.000000,1.000000,0
359,2.726759,1.000000,1.000000,0
360,2.730118,1.000000,1.000000,0
361,2.733433,1.000000,1.000000,0
362,2.736748,1.000000,1.000000,0
363,2.740074,1.000000,1.000000,0
364,2.743408,1.000000,1.000000,0
365,2.766453,1.000000,1.000000,0
366,2.789711,1.000000,1.000000,0
367,2.789942,1.000000,1.000000,0
368,2.793520,1.000000,1.000000,0
369,2.796854,1.000000,1.000000,0
370,2.800095,1.000000,1.000000,0
371,2.803408,1.000000,1.000000,0
372,2.806755,1.000000,1.000000,0
373,2.810091,1.000000,1.000000,0
374,2.834381,1.000000,1.000000,0
375,2.859093,1.000000,1.000000,0
376,2.859365,1.000000,1.000000,0
377,2.860212,1.000000,1.000000,0
378,2.863434,1.000000,1.000000,0
379,2.866762,1.000000,1.000000,0
380,2.870083,1.000000,1.000000,0
381,2.873405,1.000000,1.000000,0
382,2.876747,1.000000,1.000000,0
383,2.880054,1.000000,1.000000,0
384,2.903070,1.000000,1.000000,0
385,2.926483,1.000000,1.000000,0
386,2.926735,1.000000,1.000000,0
387,2.930080,1.000000,1.000000,0
388,2.933447,1.000000,1.000000,0
389,2.936750,1.000000,1.000000,0
390,2.940077,1.000000,1.000000,0
391,2.943411,1.000000,1.000000,0
392,2.946751,1.000000,1.000000,0
393,2.950085,1.000000,1.000000,0
394,2.973984,1.000000,1.000000,0
395,2.998323,1.000000,1.000000,0
396,2.998589,1.000000,1.000000,0
397,3.000063,1.000000,1.000000,0
398,3.003490,1.000000,1.000000,0
399,3.006777,1.000000,1.000000,0
400,3.010130,1.000000,1.000000,0
401,3.013426,1.000000,1.000000,0
402,3.016769,1.000000,1.000000,0
403,3.040380,1.000000,1.000000,0
404,3.064541,1.000000,1.000000,0
405,3.064806,1.000000,1.000000,0
406,3.066750,1.000000,1.000000,0
407,3.070091,1.000000,1.000000,0
408,3.073399,1.000000,1.000000,0
409,3.076744,1.000000,1.000000,0
410,3.080065,1.000000,1.000000,0
411,3.083389,1.000000,1.000000,0
412,3.086756,1.000000,1.000000,0
413,3.110304,1.000000,1.000000,0
414,3.134441,1.000000,1.000000,0
415,3.134686,1.000000,1.000000,0
416,3.136751,1.000000,1.000000,0
417,3.140079,1.000000,1.000000,0
418,3.143389,1.000000,1.000000,0
419,3.146746,1.000000,1.000000,0
420,3.150059,1.000000,1.000000,0
421,3.153416,1.000000,1.000000,0
422,3.176483,1.000000,1.000000,0
423,3.199879,1.000000,1.000000,0
424,3.200142,1.000000,1.000000,0
425,3.203394,1.000000,1.000000,0
426,3.206753,1.000000,1.000000,0
427,3.210064,1.000000,1.000000,0
428,3.213432,1.000000,1.000000,0
429,3.216743,1.000000,1.000000,0
430,3.220057,1.000000,1.000000,0
431,3.244364,1.000000,1.000000,0
432,3.256502,1.000000,1.000000,0
433,3.256748,1.000000,1.000000,0
434,3.260054,1.000000,1.000000,0
435,3.263441,1.000000,1.000000,0
436,3.266788,1.000000,1.000000,0
437,3.270065,1.000000,1.000000,0
438,3.273403,1.000000,1.000000,0
439,3.276749,1.000000,1.000000,0
440,3.280062,1.000000,1.000000,0
441,3.283415,1.000000,1.000000,0
442,3.286764,1.000000,1.000000,0
443,3.309910,1.000000,1.000000,0
444,3.333656,1.000000,1.000000,0
445,3.333900,1.000000,1.000000,0
446,3.336796,1.000000,1.000000,0
447,3.340107,1.000000,1.000000,0
448,3.343422,1.000000,1.000000,0
449,3.346745,1.000000,1.000000,0
450,3.350069,1.000000,1.000000,0
451,3.353458,1.000000,1.000000,0
452,3.356739,1.000000,1.000000,0
453,3.380213,1.000000,1.000000,0
454,3.404177,1.000000,1.000000,0
455,3.404428,1.000000,1.000000,0
456,3.406721,1.000000,1.000000,0
457,3.410086,1.000000,1.000000,0
458,3.413382,1.000000,1.000000,0
459,3.416805,1.000000,1.000000,0
460,3.420269,1.000000,1.000000,0
461,3.423473,1.000000,1.000000,0
462,3.447598,1.000000,1.000000,0
463,3.472286,1.000000,1.000000,0
464,3.472548,1.000000,1.000000,0
465,3.473396,1.000000,1.000000,0
466,3.476822,1.000000,1.000000,0
467,3.480135,1.000000,1.000000,0
468,3.483458,1.000000,1.000000,0
469,3.486742,1.000000,1.000000,0
470,3.490061,1.000000,1.000000,0
471,3.493380,1.000000,1.000000,0
472,3.516418,1.000000,1.000000,0
473,3.539728,1.000000,1.000000,0
474,3.539972,1.000000,1.000000,0
475,3.543392,1.000000,1.000000,0
476,3.546743,1.000000,1.000000,0
477,3.550058,1.000000,1.000000,0
478,3.553394,1.000000,1.000000,0
479,3.556723,1.000000,1.000000,0
480,3.560057,1.000000,1.000000,0
481,3.563385,1.000000,1.000000,0
482,3.586683,1.000000,1.000000,0
483,3.610575,1.000000,1.000000,0
484,3.610823,1.000000,1.000000,0
485,3.613400,1.000000,1.000000,0
486,3.616735,1.000000,1.000000,0
487,3.620068,1.000000,1.000000,0
488,3.623384,1.000000,1.000000,0
489,3.626736,1.000000,1.000000,0
490,3.630045,1.000000,1.000000,0
491,3.654501,1.000000,1.000000,0
492,3.679405,1.000000,1.000000,0
493,3.679663,1.000000,1.000000,0
494,3.683399,1.000000,1.000000,0
495,3.686743,1.000000,1.000000,0
496,3.690048,1.000000,1.000000,0
497,3.693382,1.000000,1.000000,0
498,3.696720,1.000000,1.000000,0
499,3.700052,1.000000,1.000000,0
500,3.723001,1.000000,1.000000,0
501,3.746431,1.000000,1.000000,0
502,3.746735,1.000000,1.000000,0
503,3.750227,1.000000,1.000000,0
