time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
19.5159,8.6277,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.5683,8.6801,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.6184,8.7302,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.6690,8.7808,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.7245,8.8363,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.7754,8.8872,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.8272,8.9390,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.8791,8.9909,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.9308,9.0426,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
19.9821,9.0939,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.0324,9.1442,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.0838,9.1956,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.1343,9.2461,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.1852,9.2970,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.2354,9.3472,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.2857,9.3975,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.3361,9.4479,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.3868,9.4986,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.4375,9.5493,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.4895,9.6013,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.5399,9.6517,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
20.5910,9.7028,1,0,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
