time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
16.7592,5.6007,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.8097,5.6512,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.8599,5.7014,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.9103,5.7518,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
16.9613,5.8028,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.0119,5.8534,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.0627,5.9042,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.1130,5.9545,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.1636,6.0052,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.2143,6.0558,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.2649,6.1065,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.3153,6.1568,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.3656,6.2071,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.4160,6.2575,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.4666,6.3081,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.5167,6.3582,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.5679,6.4094,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.6180,6.4595,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.6681,6.5096,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.7189,6.5604,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.7691,6.6106,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.8193,6.6608,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.8694,6.7109,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.9195,6.7611,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
17.9695,6.8111,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.2809,8.5038
