time,elapsed,local,host,charge,windup,active,remaining,circles,sky,frontStun,rearStun,casterStun,frontElement,centreX,centreZ,casterX,casterZ,gameTime,realTime,frameDelta,frontX,frontZ,rearX,rearZ,phaister
28.7141792440217,6.838852,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.6747927295918,28.7158861012472,0.004869402,3.5,-8,0,7,1
28.7642675304518,6.898842,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.7248606292517,28.7653437012472,0.004078005,3.5,-8,0,7,1
28.8188074994285,6.938835,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.779350127551,28.8199318012472,0.005198902,3.5,-8,0,7,1
28.8689463510958,6.998825,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.8295404265873,28.8700367012472,0.003842999,3.5,-8,0,7,1
28.9213826208177,7.058815,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.8819763251134,28.9232216012472,0.003414399,3.5,-8,0,7,1
28.9727980326081,7.098808,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.9333804280045,28.9739406012472,0.003692396,3.5,-8,0,7,1
29.025056631373,7.158798,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,25.9856235260771,29.0261613012472,0.003734999,3.5,-8,0,7,1
29.0775299621222,7.198792,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,26.038134630102,29.0783789012472,0.003266404,3.5,-8,0,7,1
29.1302971523034,7.258781,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,26.0908848285147,29.1318873012472,0.003312599,3.5,-8,0,7,1
29.1808826030244,7.318771,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,26.1414814271542,29.1825625012472,0.003559099,3.5,-8,0,7,1
29.2323227211076,7.358765,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,26.1929290249433,29.2338904012472,0.003051594,3.5,-8,0,7,1
29.2836672163417,7.418755,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,-8,26.2442480300454,29.2845254012472,0.003900503,3.5,-8,0,7,1
