time,elapsed,host,local,possessed,devouring,x,y,z,bodyX,bodyZ,fieldX,fieldZ,fieldCount,s2active,ultactive,s2charges,ultcharge,modelX,modelZ,sourceCharges,sourceX,sourceZ,stunLeft,mashPresses,tripPresses,petYaw
16.2297,5.5822,1,0,0,0,1.2130,1.2501,-7.6495,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6908
16.2809,5.6334,1,0,0,0,1.2138,1.2529,-7.6486,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6908
16.3313,5.6838,1,0,0,0,1.2144,1.2565,-7.6476,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6908
16.3830,5.7356,1,0,0,0,1.2150,1.2608,-7.6467,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6907
16.4332,5.7858,1,0,0,0,1.2154,1.2655,-7.6458,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6906
16.4836,5.8362,1,0,0,0,1.2157,1.2709,-7.6448,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6905
16.5348,5.8874,1,0,0,0,1.2158,1.2766,-7.6439,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6904
16.5853,5.9379,1,0,0,0,1.2159,1.2826,-7.6429,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6903
16.6375,5.9900,1,0,0,0,1.2158,1.2887,-7.6420,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6901
16.6882,6.0407,1,0,0,0,1.2155,1.2948,-7.6411,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
16.7388,6.0914,1,0,0,0,1.2152,1.3010,-7.6401,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6898
16.7904,6.1430,1,0,0,0,1.2147,1.3069,-7.6392,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6897
16.8407,6.1932,1,0,0,0,1.2141,1.3123,-7.6384,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6896
16.8917,6.2442,1,0,0,0,1.2134,1.3169,-7.6375,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
17.0275,6.3800,1,0,0,0,1.2126,1.3148,-7.6370,0.0000,-8.0000,NaN,NaN,0,0,0,1,0.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.7014
